2019-10-24,09:05 AM,Error,SmartPrompter-Admin,Launching on device with dp height: 683.4286 		 and dp width: 411.42856
2019-10-24,09:05 AM,Info,SpResLib,Retrieving alarm records from storage!
2019-10-24,09:05 AM,Info,SpResLib,Retrieving alarm records from storage!
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: device_label.txt
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: export_check.txt
2019-10-24,09:05 AM,Info,SpResLib,Retrieving log records from storage!
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-18 App.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 0318206149017892463801408136598679352925
2019-10-24,09:05 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":9,"dayOfMonth":24,"hourOfDay":7,"minute":45,"second":0},"archived":true,"desc":"Shower! ","reminderCount":1,"reminderTime":{"year":2019,"month":9,"dayOfMonth":24,"hourOfDay":7,"minute":47,"second":0},"reminderType":"Implicit","status":"Complete","timeAcknowledged":{"year":2019,"month":9,"dayOfMonth":24,"hourOfDay":7,"minute":46,"second":4},"timeCompleted":{"year":2019,"month":9,"dayOfMonth":24,"hourOfDay":7,"minute":46,"second":9},"uuid":"0318206149017892463801408136598679352925"}
 	 from file: /storage/emulated/0/Documents/sp_logs/0318206149017892463801408136598679352925
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-08 UI.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-24 App.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 0316723787060426473190243585152757065753
2019-10-24,09:05 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":23,"minute":0,"second":0},"archived":true,"desc":"New Alarm","reminderCount":1,"reminderTime":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":23,"minute":2,"second":0},"reminderType":"Implicit","status":"Complete","timeAcknowledged":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":23,"minute":1,"second":5},"timeCompleted":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":23,"minute":1,"second":11},"uuid":"0316723787060426473190243585152757065753"}
 	 from file: /storage/emulated/0/Documents/sp_logs/0316723787060426473190243585152757065753
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-23 UI.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-18 UI.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-21 App.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-21 UI.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 0207933013298691285150482237653436080770
2019-10-24,09:05 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":22,"minute":45,"second":0},"archived":true,"desc":"test1","reminderCount":1,"reminderTime":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":22,"minute":47,"second":0},"reminderType":"Implicit","status":"Complete","timeAcknowledged":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":22,"minute":46,"second":8},"timeCompleted":{"year":2019,"month":9,"dayOfMonth":23,"hourOfDay":22,"minute":46,"second":19},"uuid":"0207933013298691285150482237653436080770"}
 	 from file: /storage/emulated/0/Documents/sp_logs/0207933013298691285150482237653436080770
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 2019-10-24 UI.csv
2019-10-24,09:05 AM,Info,SpResLib,Scanning file: 0124793342716000584076852480006386305274
