2019-10-02,10:06 AM,Error,SmartPrompter-Admin,Launching on device with dp height: 609.7778 		 and dp width: 320.0
2019-10-02,10:31 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":8,"dayOfMonth":27,"hourOfDay":11,"minute":55,"second":0},"archived":false,"desc":"testing reminders","reminderCount":2,"reminderTime":{"year":2019,"month":8,"dayOfMonth":27,"hourOfDay":13,"minute":36,"second":0},"reminderType":"Implicit","status":"Incomplete","timeAcknowledged":{"year":2019,"month":8,"dayOfMonth":27,"hourOfDay":13,"minute":35,"second":5},"uuid":"0077445928513345684575418043077092862036"}
 	 from file: /storage/emulated/0/Documents/sp_alarms/0077445928513345684575418043077092862036
2019-10-02,10:31 AM,Info,SpResLib,Scanning file: export_check.txt
2019-10-02,10:31 AM,Info,SmartPrompter-Admin,Populating activities.CurrentAlarmsActivity with alarm-list fragment.
2019-10-02,10:33 AM,Info,SpResLib,Retrieving alarm records from storage!
2019-10-02,10:33 AM,Info,SpResLib,Retrieving alarm records from storage!
2019-10-02,10:33 AM,Info,SpResLib,Scanning file: export_check.txt
2019-10-02,10:33 AM,Info,SmartPrompter-Admin,Populating activities.CurrentAlarmsActivity with empty-list fragment.
2019-10-02,10:33 AM,Info,SpResLib,Retrieving log records from storage!
2019-10-02,10:33 AM,Info,SpResLib,Scanning file: 2019-10-02 App.csv
2019-10-02,10:33 AM,Info,SpResLib,Scanning file: 2019-10-02 UI.csv
2019-10-02,10:33 AM,Info,SpResLib,Scanning file: 0077445928513345684575418043077092862036
2019-10-02,10:33 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":8,"dayOfMonth":27,"hourOfDay":11,"minute":55,"second":0},"archived":true,"desc":"testing reminders","reminderCount":2,"reminderTime":{"year":2019,"month":8,"dayOfMonth":27,"hourOfDay":13,"minute":36,"second":0},"reminderType":"Implicit","status":"Complete","timeAcknowledged":{"year":2019,"month":8,"dayOfMonth":27,"hourOfDay":13,"minute":35,"second":5},"timeCompleted":{"year":2019,"month":9,"dayOfMonth":2,"hourOfDay":10,"minute":33,"second":17},"uuid":"0077445928513345684575418043077092862036"}
 	 from file: /storage/emulated/0/Documents/sp_logs/0077445928513345684575418043077092862036
2019-10-02,10:33 AM,Info,SmartPrompter-Admin,Populating activities.PastAlarmsActivity with alarm-list fragment.
